Age,Status,Education,Years,Profession,Capitalgains,Capitalloss,Native,Zodiak
27,Self-emp-not-inc,HS-grad,9,Protective-serv,0,0,United-States,Pisces
21,Private,HS-grad,9,Sales,0,0,United-States,Capricorn
24,Private,Some-college,10,Adm-clerical,0,0,United-States,Capricorn
29,?,Some-college,10,?,0,0,United-States,Leo
47,Private,HS-grad,9,Transport-moving,0,0,United-States,Aquarius
24,Private,Bachelors,13,Prof-specialty,0,11152,United-States,Gemini
42,Private,Prof-school,15,Prof-specialty,0,1902,United-States,Cancer
49,Private,Assoc-voc,11,Machine-op-inspct,0,0,Peru,Aquarius
69,Private,5th-6th,3,Adm-clerical,1797,0,United-States,Leo
31,Private,Masters,14,Exec-managerial,0,10754,United-States,Scorpio
64,Private,Some-college,10,Exec-managerial,0,0,United-States,Taurus
23,Private,Some-college,10,Adm-clerical,3674,0,United-States,Capricorn
47,Self-emp-inc,Prof-school,15,Other-service,0,0,United-States,Sagittarius
30,Private,7th-8th,4,Machine-op-inspct,202584,0,United-States,Scorpio
63,Private,Bachelors,13,Sales,0,0,United-States,Cancer
46,Private,Prof-school,15,Prof-specialty,99999,0,United-States,Sagittarius
35,Private,HS-grad,9,Craft-repair,0,0,United-States,Gemini
74,Self-emp-not-inc,Bachelors,13,Craft-repair,15831,0,Germany,Virgo
22,Private,Bachelors,13,Sales,0,0,United-States,Pisces
58,Private,5th-6th,3,Machine-op-inspct,0,0,United-States,Leo
39,Private,9th,5,Handlers-cleaners,0,0,United-States,Scorpio
24,Private,Bachelors,13,Prof-specialty,249479,0,United-States,Libra
35,Private,Bachelors,13,Other-service,0,0,United-States,Cancer
34,Private,Assoc-acdm,12,Adm-clerical,0,0,United-States,Libra
58,Private,Bachelors,13,Sales,0,0,United-States,Leo
37,Self-emp-not-inc,Assoc-voc,11,Other-service,0,0,United-States,Scorpio
80,Self-emp-not-inc,HS-grad,9,Farming-fishing,0,0,United-States,Pisces
28,Private,Some-college,10,Exec-managerial,0,0,United-States,Sagittarius
69,Self-emp-inc,Masters,14,Exec-managerial,6514,0,United-States,Scorpio
23,Private,Some-college,10,Exec-managerial,0,0,United-States,Gemini
61,Self-emp-not-inc,HS-grad,9,Sales,0,0,United-States,Virgo
72,Local-gov,HS-grad,9,Exec-managerial,2290,0,United-States,Sagittarius
47,Self-emp-inc,HS-grad,9,Craft-repair,0,0,United-States,Cancer
30,Private,Bachelors,13,Other-service,0,0,United-States,Aquarius
62,State-gov,Masters,14,Prof-specialty,0,0,?,Capricorn
43,Private,HS-grad,9,Adm-clerical,213733,0,United-States,Capricorn
23,Self-emp-not-inc,Bachelors,13,Adm-clerical,0,2231,United-States,Cancer
40,Private,HS-grad,9,Handlers-cleaners,0,0,United-States,Leo
33,Private,Assoc-voc,11,Exec-managerial,294966,0,United-States,Leo
23,Private,Bachelors,13,Other-service,0,0,United-States,Leo
71,Private,9th,5,Priv-house-serv,0,0,United-States,Gemini
28,Private,Bachelors,13,Adm-clerical,0,0,United-States,Aquarius
33,Private,HS-grad,9,Handlers-cleaners,4416,0,United-States,Leo
35,Private,Some-college,10,Adm-clerical,0,0,United-States,Pisces
44,Private,Bachelors,13,Sales,0,0,United-States,Cancer
26,Private,HS-grad,9,Craft-repair,0,0,United-States,Cancer
23,Private,Bachelors,13,Prof-specialty,0,0,United-States,Cancer
40,Private,Some-college,10,Craft-repair,7298,0,United-States,Virgo
24,Self-emp-not-inc,HS-grad,9,Sales,247052,0,United-States,Aquarius
46,Local-gov,Bachelors,13,Protective-serv,0,12600,United-States,Scorpio
53,Private,Some-college,10,Adm-clerical,0,0,United-States,Leo
43,Private,HS-grad,9,Transport-moving,0,0,United-States,Pisces
42,Private,Assoc-voc,11,Prof-specialty,0,0,United-States,Libra
48,Private,HS-grad,9,Sales,0,0,United-States,Sagittarius
36,Local-gov,HS-grad,9,Other-service,0,0,United-States,Leo
49,Private,Some-college,10,Handlers-cleaners,0,0,United-States,Pisces
22,State-gov,Some-college,10,Tech-support,0,0,United-States,Cancer
52,State-gov,Masters,14,Prof-specialty,0,0,United-States,Aquarius
46,Self-emp-not-inc,Bachelors,13,Prof-specialty,0,0,United-States,Gemini
32,Private,Assoc-voc,11,Exec-managerial,0,0,United-States,Leo
21,Private,Some-college,10,Tech-support,0,0,Ecuador,Cancer
45,Self-emp-inc,Prof-school,15,Prof-specialty,0,1485,United-States,Scorpio
69,Private,Bachelors,13,Handlers-cleaners,0,0,United-States,Sagittarius
46,Self-emp-not-inc,Masters,14,Exec-managerial,0,13222,United-States,Aquarius
47,Private,Some-college,10,Adm-clerical,277566,0,United-States,Sagittarius
33,Private,Bachelors,13,Protective-serv,0,0,England,Cancer
64,Private,HS-grad,9,Machine-op-inspct,0,0,United-States,Sagittarius
32,Self-emp-not-inc,HS-grad,9,Sales,0,0,United-States,Capricorn
40,Private,Assoc-voc,11,Sales,0,0,United-States,Libra
23,?,11th,7,?,0,0,United-States,Taurus
25,Private,Some-college,10,Adm-clerical,0,0,United-States,Aquarius
46,State-gov,Bachelors,13,Prof-specialty,274981,0,United-States,Sagittarius
34,Private,Some-college,10,Prof-specialty,0,0,United-States,Taurus
39,Private,Bachelors,13,Adm-clerical,297760,0,Philippines,Sagittarius
24,State-gov,Bachelors,13,Prof-specialty,0,0,United-States,Leo
27,Private,Assoc-acdm,12,Sales,0,0,United-States,Leo
67,?,7th-8th,4,?,2414,0,United-States,Leo
34,Local-gov,Bachelors,13,Exec-managerial,0,0,United-States,Cancer
23,Private,HS-grad,9,Machine-op-inspct,0,0,United-States,Aquarius
49,Private,Assoc-voc,11,Prof-specialty,0,0,United-States,Leo
21,Private,11th,7,Sales,0,0,United-States,Taurus
73,Self-emp-inc,HS-grad,9,Sales,0,0,United-States,Leo
35,Private,Assoc-voc,11,Craft-repair,0,0,United-States,Cancer
63,Private,Some-college,10,Sales,0,0,United-States,Aquarius
42,Private,Some-college,10,Craft-repair,0,0,United-States,Virgo
37,Private,Bachelors,13,Exec-managerial,15024,0,United-States,Aquarius
39,Private,Assoc-voc,11,Craft-repair,213236,0,United-States,Virgo
53,Federal-gov,HS-grad,9,Adm-clerical,0,1977,United-States,Pisces
62,?,HS-grad,9,?,0,0,United-States,Libra
34,Private,Bachelors,13,Exec-managerial,0,0,United-States,Scorpio
35,Private,HS-grad,9,Adm-clerical,4386,0,United-States,Gemini
69,?,5th-6th,3,?,0,0,United-States,Aquarius
41,Private,HS-grad,9,Farming-fishing,0,0,United-States,Pisces
45,Self-emp-inc,HS-grad,9,Exec-managerial,15024,0,United-States,Cancer
46,Private,Assoc-voc,11,Prof-specialty,252046,0,United-States,Taurus
24,Private,HS-grad,9,Craft-repair,0,0,United-States,Aquarius
42,Private,Some-college,10,Machine-op-inspct,0,0,United-States,Capricorn
30,Private,HS-grad,9,Craft-repair,0,0,United-States,Aquarius
43,State-gov,HS-grad,9,Other-service,0,0,United-States,Libra
24,Private,HS-grad,9,Other-service,0,0,United-States,Capricorn
32,Private,HS-grad,9,Transport-moving,0,0,Mexico,Capricorn
35,Private,HS-grad,9,Machine-op-inspct,0,0,United-States,Gemini
60,Self-emp-not-inc,HS-grad,9,Craft-repair,0,0,?,Libra
25,Private,Assoc-voc,11,Adm-clerical,0,0,United-States,Libra
52,Private,Some-college,10,Exec-managerial,0,0,United-States,Gemini
45,Private,11th,7,Other-service,0,0,United-States,Libra
30,Private,7th-8th,4,Craft-repair,292800,0,United-States,Leo
25,Private,Some-college,10,Craft-repair,0,0,United-States,Taurus
35,Private,HS-grad,9,Exec-managerial,0,0,United-States,Sagittarius
53,Private,HS-grad,9,Craft-repair,0,0,El-Salvador,Gemini
22,Private,HS-grad,9,Machine-op-inspct,0,0,United-States,Cancer
22,?,12th,8,?,0,0,United-States,Cancer
95,Without-pay,Masters,14,?,100185,52598,England,Gemini
79,?,HS-grad,9,?,0,0,United-States,Cancer
26,Private,Bachelors,13,Prof-specialty,0,0,United-States,Aquarius
68,?,Bachelors,13,?,0,2377,United-States,Taurus
36,Private,Some-college,10,Adm-clerical,283745,0,United-States,Taurus
79,?,Masters,14,?,20051,0,Poland,Scorpio
59,Private,HS-grad,9,Adm-clerical,0,0,United-States,Pisces
32,Local-gov,HS-grad,9,Transport-moving,0,0,United-States,Aquarius
55,Private,10th,6,Other-service,0,0,United-States,Pisces
27,Private,Some-college,10,Adm-clerical,0,0,United-States,Leo
62,?,Masters,13,?,290376,297815,Mexico,Taurus
54,Private,HS-grad,9,Machine-op-inspct,0,0,United-States,Leo
51,Self-emp-inc,HS-grad,9,Exec-managerial,14084,0,United-States,Taurus
51,Private,12th,8,Transport-moving,0,0,United-States,Leo
56,Private,10th,6,Handlers-cleaners,0,0,United-States,Taurus
56,Private,9th,5,Other-service,0,0,United-States,Capricorn
38,Private,HS-grad,9,Tech-support,0,0,United-States,Libra
76,Private,7th-8th,4,Protective-serv,0,0,United-States,Cancer
60,Private,11th,7,Protective-serv,0,0,United-States,Sagittarius
47,State-gov,HS-grad,9,Adm-clerical,0,0,United-States,Libra
23,Private,Some-college,10,Other-service,0,0,United-States,Libra
58,Private,Assoc-voc,11,Craft-repair,0,0,United-States,Gemini
40,Private,10th,6,Exec-managerial,239214,0,United-States,Sagittarius
43,Private,Some-college,10,Exec-managerial,0,0,United-States,Gemini
23,Private,7th-8th,4,Craft-repair,0,0,Mexico,Sagittarius
50,Private,Prof-school,15,Prof-specialty,233064,0,United-States,Capricorn
44,State-gov,Bachelors,13,Prof-specialty,0,0,United-States,Libra
34,Private,HS-grad,9,Sales,0,0,United-States,Pisces
30,Private,Bachelors,13,Exec-managerial,0,0,Taiwan,Leo
36,Private,HS-grad,9,Machine-op-inspct,0,0,Laos,Scorpio
53,Local-gov,Assoc-acdm,12,Adm-clerical,0,0,United-States,Leo
43,Private,Some-college,10,Tech-support,0,1617,United-States,Gemini
28,Private,HS-grad,9,Handlers-cleaners,0,0,United-States,Gemini
70,Private,Bachelors,13,Machine-op-inspct,0,0,Philippines,Sagittarius
44,Private,Some-college,10,Exec-managerial,0,0,United-States,Taurus
22,Private,Some-college,10,Sales,0,0,Mexico,Libra
27,Private,9th,5,Protective-serv,0,0,Guatemala,Scorpio
34,Private,5th-6th,3,Handlers-cleaners,0,0,El-Salvador,Leo
49,Private,Bachelors,13,Other-service,0,0,Philippines,Capricorn
33,Federal-gov,Assoc-acdm,12,Adm-clerical,0,0,United-States,Cancer
25,Private,Bachelors,13,Craft-repair,0,0,Mexico,Cancer
52,Private,HS-grad,9,Sales,0,0,United-States,Libra
56,Private,HS-grad,9,Sales,0,0,United-States,Scorpio
40,Local-gov,Some-college,10,Protective-serv,222926,0,United-States,Leo
56,Private,Bachelors,13,Prof-specialty,2907,0,Cuba,Pisces
65,?,Assoc-voc,11,?,0,12133,United-States,Capricorn
55,State-gov,Bachelors,13,Exec-managerial,0,0,United-States,Taurus
54,Private,Assoc-acdm,12,Exec-managerial,0,0,United-States,Scorpio
49,Self-emp-not-inc,HS-grad,9,Farming-fishing,0,1672,United-States,Pisces
22,Private,10th,6,Transport-moving,0,0,United-States,Gemini
41,Local-gov,HS-grad,9,Other-service,0,0,United-States,Capricorn
32,Private,HS-grad,9,Prof-specialty,0,0,United-States,Virgo
42,Private,Assoc-acdm,12,Prof-specialty,0,0,United-States,Pisces
37,Private,HS-grad,9,Other-service,0,0,United-States,Aquarius
49,Private,Bachelors,13,Craft-repair,200506,0,United-States,Cancer
43,Self-emp-not-inc,HS-grad,9,Craft-repair,0,0,United-States,Sagittarius
41,Private,Some-college,10,Exec-managerial,0,0,United-States,Virgo
32,Local-gov,Bachelors,13,Adm-clerical,252720,0,United-States,Pisces
38,Private,Some-college,10,Exec-managerial,0,0,United-States,Virgo
39,Private,Some-college,10,Machine-op-inspct,0,0,United-States,Scorpio
50,Private,HS-grad,9,Transport-moving,0,0,United-States,Capricorn
41,Private,Bachelors,13,Craft-repair,0,0,United-States,Gemini
53,Private,HS-grad,9,Other-service,0,0,United-States,Libra
52,Private,Bachelors,13,Exec-managerial,0,0,United-States,Capricorn
25,Private,Some-college,10,Craft-repair,0,0,United-States,Pisces
40,Private,HS-grad,9,Adm-clerical,0,0,United-States,Pisces
50,Private,HS-grad,9,Craft-repair,0,0,United-States,Scorpio
55,Private,HS-grad,9,Exec-managerial,0,0,United-States,Libra
37,Private,9th,5,Handlers-cleaners,3781,0,Mexico,Aquarius
23,Private,10th,6,Craft-repair,0,0,Portugal,Libra
69,Private,Prof-school,15,Prof-specialty,0,0,United-States,Taurus
50,?,9th,5,?,0,0,United-States,Scorpio
49,Private,12th,8,Machine-op-inspct,217418,0,United-States,Leo
26,Private,HS-grad,9,Other-service,0,0,United-States,Libra
37,Private,Bachelors,13,Prof-specialty,10520,0,United-States,Capricorn
45,Private,Masters,14,Adm-clerical,0,0,Philippines,Aquarius
26,Private,HS-grad,9,Craft-repair,0,0,United-States,Leo
60,Private,Some-college,10,Craft-repair,0,0,United-States,Taurus
51,Private,Bachelors,13,Exec-managerial,0,11517,United-States,Virgo
58,Self-emp-not-inc,Bachelors,13,Farming-fishing,0,0,United-States,Scorpio
58,Private,HS-grad,9,Other-service,0,0,United-States,Leo
33,Private,HS-grad,9,Machine-op-inspct,0,0,United-States,Taurus
29,Private,1st-4th,2,Other-service,0,0,?,Libra
40,Private,HS-grad,9,Other-service,0,0,Greece,Aquarius
23,Private,HS-grad,9,Sales,0,0,United-States,Sagittarius
23,Private,Some-college,10,Handlers-cleaners,206132,0,United-States,Capricorn
34,Private,Assoc-voc,11,Craft-repair,0,0,United-States,Leo
36,State-gov,Masters,14,Prof-specialty,0,0,United-States,Sagittarius
46,Private,HS-grad,9,Transport-moving,0,0,United-States,Gemini
44,Private,Bachelors,13,Machine-op-inspct,0,0,United-States,Libra
31,Private,Bachelors,13,Exec-managerial,0,0,United-States,Virgo
27,Self-emp-not-inc,Bachelors,13,Exec-managerial,0,0,United-States,Libra
49,State-gov,Doctorate,13,Protective-serv,287065,278817,India,Aquarius
27,Private,10th,6,Handlers-cleaners,0,0,United-States,Gemini
36,Private,Masters,14,Exec-managerial,0,0,United-States,Leo
44,Self-emp-not-inc,10th,6,Craft-repair,0,0,United-States,Pisces
44,Self-emp-not-inc,Some-college,10,Sales,0,0,Philippines,Scorpio
30,Self-emp-not-inc,Prof-school,15,Prof-specialty,0,0,United-States,Leo
49,Private,Assoc-voc,11,Exec-managerial,0,0,United-States,Cancer
61,Self-emp-not-inc,HS-grad,9,Farming-fishing,22040,0,United-States,Cancer
58,Local-gov,HS-grad,9,Exec-managerial,7298,0,United-States,Capricorn
60,Private,HS-grad,9,Machine-op-inspct,7688,0,United-States,Scorpio
34,Private,7th-8th,4,Transport-moving,0,0,Mexico,Aquarius
30,Private,HS-grad,9,Craft-repair,0,0,United-States,Sagittarius
60,Private,5th-6th,3,Craft-repair,0,0,Mexico,Gemini
26,Private,Some-college,10,Sales,0,0,United-States,Taurus
50,Private,HS-grad,9,Transport-moving,0,0,United-States,Pisces
49,Self-emp-not-inc,7th-8th,4,Sales,0,0,United-States,Scorpio
44,Self-emp-inc,Some-college,10,Exec-managerial,0,0,United-States,Capricorn
45,Private,Bachelors,13,Exec-managerial,15024,0,United-States,Gemini
37,Private,HS-grad,9,Craft-repair,286089,0,United-States,Pisces
50,Self-emp-not-inc,Some-college,10,Craft-repair,0,0,United-States,Virgo
38,Self-emp-inc,Prof-school,15,Prof-specialty,0,0,United-States,Aquarius
27,Private,HS-grad,9,Machine-op-inspct,0,0,United-States,Leo
32,Private,11th,7,Other-service,0,0,United-States,Pisces
36,Federal-gov,Some-college,10,Exec-managerial,13550,0,United-States,Pisces
34,Private,HS-grad,9,Machine-op-inspct,254613,0,United-States,Leo
74,State-gov,Some-college,10,Sales,0,0,United-States,Sagittarius
32,Private,Some-college,10,Exec-managerial,0,0,United-States,Capricorn
54,Self-emp-not-inc,Bachelors,13,Exec-managerial,0,10329,United-States,Cancer
50,Private,10th,6,Other-service,0,0,United-States,Taurus
26,Private,Some-college,10,Machine-op-inspct,0,0,United-States,Cancer
50,Private,HS-grad,9,Craft-repair,7688,0,United-States,Pisces
32,Local-gov,Masters,14,Prof-specialty,0,0,United-States,Pisces
40,Private,Bachelors,13,Exec-managerial,0,0,United-States,Sagittarius
25,Private,HS-grad,9,Other-service,0,0,United-States,Libra
72,?,5th-6th,3,?,0,0,United-States,Virgo
31,Private,Bachelors,13,Sales,0,0,United-States,Virgo
46,Private,HS-grad,9,Machine-op-inspct,247784,0,United-States,Aquarius
41,Private,Some-college,10,Transport-moving,0,0,United-States,Libra
48,Private,Assoc-acdm,12,Other-service,0,0,United-States,Scorpio
49,Local-gov,11th,7,Handlers-cleaners,0,0,United-States,Scorpio
40,Private,Bachelors,13,Prof-specialty,0,0,United-States,Leo
50,Private,Assoc-acdm,12,Craft-repair,0,13383,United-States,Sagittarius
22,Private,11th,7,Craft-repair,0,0,United-States,Virgo
40,Private,Some-college,10,Prof-specialty,257461,0,United-States,Leo
61,Private,Some-college,10,Sales,0,0,United-States,Gemini
74,Private,5th-6th,3,Transport-moving,0,0,United-States,Gemini
64,Local-gov,HS-grad,9,Adm-clerical,0,0,United-States,Taurus
34,Private,Some-college,10,Craft-repair,15024,0,United-States,Taurus
55,Private,HS-grad,9,Exec-managerial,0,0,United-States,Libra
52,Private,HS-grad,9,Other-service,0,0,United-States,Taurus
52,Private,Bachelors,13,Sales,0,0,United-States,Leo
25,Private,Some-college,10,Adm-clerical,0,0,United-States,Aquarius
42,Federal-gov,Masters,14,Exec-managerial,14084,0,United-States,Capricorn
36,Private,11th,7,Machine-op-inspct,0,0,United-States,Pisces
31,State-gov,Assoc-voc,11,Craft-repair,0,0,United-States,Cancer
63,Self-emp-not-inc,HS-grad,9,Sales,0,0,United-States,Sagittarius
64,Private,HS-grad,9,Priv-house-serv,0,0,United-States,Gemini
64,Self-emp-inc,Assoc-acdm,12,Sales,0,1887,United-States,Taurus
44,Private,HS-grad,9,Sales,0,1504,United-States,Libra
38,Private,HS-grad,9,Protective-serv,0,0,United-States,Scorpio
29,Private,HS-grad,9,Sales,0,0,United-States,Leo
41,?,9th,5,?,0,0,Hong,Leo
55,Private,Some-college,10,Exec-managerial,0,0,United-States,Capricorn
31,Self-emp-not-inc,Bachelors,13,Adm-clerical,0,0,United-States,Capricorn
21,Private,HS-grad,9,Adm-clerical,0,0,United-States,Pisces
66,Private,Some-college,10,Exec-managerial,0,0,United-States,Libra
40,Private,HS-grad,9,Handlers-cleaners,0,0,Ireland,Cancer
25,Private,Some-college,10,Exec-managerial,221613,0,United-States,Aquarius
21,Private,Some-college,10,Sales,267884,0,United-States,Sagittarius
21,Private,Some-college,10,Farming-fishing,0,0,United-States,Gemini
28,Private,Bachelors,13,Other-service,0,0,England,Sagittarius
32,Private,Assoc-voc,11,Sales,247137,0,United-States,Taurus
27,Private,HS-grad,9,Transport-moving,0,0,United-States,Scorpio
43,Private,HS-grad,9,Craft-repair,0,0,United-States,Scorpio
33,Private,Some-college,10,Sales,0,0,United-States,Aquarius
22,Private,Some-college,10,Other-service,0,0,United-States,Taurus
24,Private,Bachelors,13,Prof-specialty,0,0,United-States,Pisces
44,Private,Bachelors,13,Exec-managerial,0,0,United-States,Taurus
50,Self-emp-not-inc,Assoc-acdm,12,Machine-op-inspct,3103,0,United-States,Sagittarius
39,Private,HS-grad,9,Machine-op-inspct,0,0,United-States,Aquarius
66,Private,HS-grad,9,Exec-managerial,0,0,United-States,Virgo
34,Private,HS-grad,9,Adm-clerical,0,0,United-States,Gemini
71,Self-emp-not-inc,Some-college,10,Sales,0,1816,United-States,Aquarius
53,Private,9th,5,Sales,0,0,United-States,Scorpio
48,Private,Bachelors,13,Adm-clerical,262722,0,United-States,Leo
29,Private,Bachelors,13,Prof-specialty,0,12943,United-States,Taurus
30,Private,Bachelors,13,Prof-specialty,0,1902,United-States,Pisces
39,Private,HS-grad,9,Transport-moving,0,0,United-States,Pisces
44,Private,Some-college,10,Craft-repair,7688,0,United-States,Scorpio
38,Private,HS-grad,9,Craft-repair,0,0,United-States,Gemini
22,Self-emp-not-inc,HS-grad,9,Farming-fishing,0,0,United-States,Leo
39,Private,HS-grad,9,Other-service,0,0,United-States,Leo
32,Private,10th,6,Transport-moving,0,0,United-States,Virgo
44,Private,7th-8th,4,Machine-op-inspct,0,0,Dominican-Republic,Virgo
36,Private,Assoc-acdm,12,Sales,0,0,United-States,Taurus
31,Private,HS-grad,9,Farming-fishing,0,0,Ireland,Taurus
61,Local-gov,Bachelors,13,Prof-specialty,0,0,United-States,Libra
27,Private,Bachelors,13,Adm-clerical,0,0,Hong,Aquarius
44,Private,Assoc-acdm,12,Exec-managerial,4386,0,United-States,Gemini
32,Local-gov,Some-college,10,Craft-repair,251696,0,United-States,Gemini
55,Private,HS-grad,9,Handlers-cleaners,0,0,United-States,Capricorn
21,Private,HS-grad,9,Handlers-cleaners,0,0,United-States,Scorpio
55,Self-emp-not-inc,HS-grad,9,Other-service,0,0,Nicaragua,Aquarius
35,Private,HS-grad,9,Other-service,0,0,United-States,Aquarius
63,Private,HS-grad,9,Transport-moving,0,0,United-States,Cancer
59,Private,HS-grad,9,Other-service,0,0,United-States,Sagittarius
30,Self-emp-not-inc,HS-grad,9,Craft-repair,0,0,United-States,Taurus
54,Self-emp-not-inc,HS-grad,9,Sales,0,0,United-States,Pisces
37,Private,Bachelors,13,Sales,0,0,United-States,Aquarius
25,Private,Bachelors,13,Exec-managerial,0,1726,United-States,Scorpio
41,Private,Some-college,10,Craft-repair,0,0,United-States,Scorpio
55,Self-emp-inc,HS-grad,9,Exec-managerial,0,1977,United-States,Capricorn
35,?,Assoc-voc,11,?,0,11277,United-States,Taurus
28,Local-gov,Assoc-acdm,12,Adm-clerical,0,1980,United-States,Capricorn
24,Federal-gov,Bachelors,13,Tech-support,0,0,?,Capricorn
49,?,Some-college,10,?,0,0,United-States,Gemini
52,State-gov,Some-college,10,Tech-support,0,0,United-States,Pisces
44,Private,Some-college,10,Machine-op-inspct,0,0,United-States,Aquarius
49,Self-emp-not-inc,Assoc-acdm,12,Craft-repair,0,0,Columbia,Taurus
25,Private,Bachelors,13,Prof-specialty,243043,0,United-States,Leo
36,Local-gov,HS-grad,9,Adm-clerical,0,0,China,Libra
29,State-gov,Masters,14,Prof-specialty,0,0,Taiwan,Gemini
42,Private,HS-grad,9,Machine-op-inspct,0,0,United-States,Leo
52,Private,HS-grad,9,Craft-repair,0,0,United-States,Pisces
34,Private,Masters,14,Tech-support,0,0,?,Libra
25,Self-emp-not-inc,Assoc-voc,11,Farming-fishing,0,0,United-States,Libra
49,Private,Masters,14,Exec-managerial,0,0,United-States,Virgo
22,Private,HS-grad,9,Other-service,0,0,United-States,Libra
50,?,HS-grad,9,?,0,0,United-States,Sagittarius
40,Self-emp-inc,Bachelors,13,Prof-specialty,0,0,United-States,Scorpio
35,Private,Some-college,10,Machine-op-inspct,0,0,United-States,Taurus
53,Private,9th,5,Craft-repair,0,0,Jamaica,Taurus
52,Private,5th-6th,3,Handlers-cleaners,0,0,United-States,Taurus
50,Private,Assoc-acdm,12,Adm-clerical,0,0,United-States,Gemini
58,Private,Assoc-acdm,12,Craft-repair,0,1740,United-States,Scorpio
38,State-gov,Assoc-acdm,12,Exec-managerial,0,0,United-States,Gemini
41,Private,5th-6th,3,Priv-house-serv,0,0,Mexico,Libra
39,Private,HS-grad,9,Craft-repair,7298,0,United-States,Aquarius
39,Private,HS-grad,9,Adm-clerical,0,0,United-States,Taurus
30,Local-gov,Bachelors,13,Prof-specialty,0,11776,United-States,Virgo
45,Private,HS-grad,9,Transport-moving,0,0,United-States,Scorpio
26,Private,Some-college,10,Sales,244236,0,United-States,Capricorn
36,Local-gov,HS-grad,9,Adm-clerical,0,0,United-States,Leo
34,Private,Some-college,10,Handlers-cleaners,0,0,United-States,Scorpio
24,Private,Bachelors,13,Prof-specialty,0,0,United-States,Pisces
32,Private,HS-grad,9,Craft-repair,0,0,United-States,Scorpio
32,Private,Bachelors,13,Adm-clerical,0,11852,United-States,Libra
29,Private,Bachelors,13,Prof-specialty,217863,0,United-States,Aquarius
59,?,Some-college,10,?,0,0,United-States,Capricorn
51,Private,Some-college,10,Adm-clerical,295088,0,United-States,Gemini
68,Local-gov,HS-grad,9,Farming-fishing,0,0,United-States,Pisces
39,Private,HS-grad,9,Exec-managerial,0,0,United-States,Aquarius
36,Private,HS-grad,9,Craft-repair,0,0,United-States,Sagittarius
62,Private,HS-grad,9,Adm-clerical,0,0,United-States,Taurus
33,Self-emp-not-inc,Bachelors,13,Craft-repair,0,0,United-States,Taurus
61,Private,9th,5,Sales,0,0,United-States,Capricorn
32,Private,Assoc-acdm,12,Prof-specialty,0,10492,United-States,Libra
25,Private,HS-grad,9,Craft-repair,0,0,United-States,Pisces
34,Private,Some-college,10,Other-service,0,0,United-States,Taurus
42,Private,Bachelors,13,Exec-managerial,0,0,United-States,Leo
48,Self-emp-inc,Masters,14,Sales,0,0,United-States,Sagittarius
37,Federal-gov,Some-college,10,Craft-repair,0,0,United-States,Cancer
26,Private,Some-college,10,Other-service,0,0,United-States,Scorpio
36,Private,HS-grad,9,Craft-repair,0,0,United-States,Gemini
36,Private,5th-6th,3,Machine-op-inspct,0,0,United-States,Gemini
49,Private,Some-college,10,Sales,0,0,United-States,Aquarius
40,Self-emp-not-inc,HS-grad,9,Craft-repair,0,0,United-States,Leo
22,Private,HS-grad,9,Other-service,0,0,United-States,Cancer
31,Private,HS-grad,9,Prof-specialty,0,0,United-States,Pisces
46,Private,Assoc-voc,11,Machine-op-inspct,257797,0,United-States,Libra
